TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_4.jpeg,did not like,3.613205605,6.058514916920103,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,4.988446431,0.026440500048920512,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.470791822,1.8172625839943066,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_10.jpeg,did not like,3.820572462,2.054908834048547,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,2.455989137,1.5343494999688119,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,17.73034185,11.13482908,,999.0,999.0,999,
,,,,,,,101,,2.0,Gamble,,,,,,,21.72854467,9.135727663,,999.0,999.0,999,
,,,,,,,101,,3.0,Gamble,,,,,,,20.0262823,1.986858849,,999.0,999.0,999,
,,,,,,,101,,4.0,Gamble,,,,,,,19.78061316,6.109693419,,999.0,999.0,999,
,,,,,,,101,,5.0,Gamble,,,,,,,17.65046003,7.174769986,,999.0,999.0,999,
,,,,,,,101,6.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_13.jpeg,did not like,3.79605092,0.638569958973676,,,,,,,
,,,,,,,101,7.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,3.562416326,0.9933395830448717,,,,,,,
,,,,,,,101,8.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,2.843822497,1.2301512090489268,,,,,,,
,,,,,,,101,9.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_27.jpeg,liked,3.546495948,6.370133250020444,,,,,,,
,,,,,,,101,10.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_1.jpeg,did not like,1.672012706,6.643028666963801,,,,,,,
,,,,,,,101,,6.0,Gamble,,,,,,,18.89442261,10.55278869,,999.0,999.0,999,
,,,,,,,101,,7.0,Gamble,,,,,,,20.85617518,9.57191241,,999.0,999.0,999,
,,,,,,,101,,8.0,Gamble,,,,,,,14.31194562,8.844027192,,999.0,999.0,999,
,,,,,,,101,,9.0,Gamble,,,,,,,10.83678314,6.581608429,,999.0,999.0,999,
,,,,,,,101,,10.0,Gamble,,,,,,,15.3194242,8.3402879,,999.0,999.0,999,
,,,,,,,101,11.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,4.942172136,0.2397645409218967,,,,,,,
,,,,,,,101,12.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.50187214,1.5351424580439925,,,,,,,
,,,,,,,101,13.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_28.jpeg,did not like,2.071164779,14.039720624918118,,,,,,,
,,,,,,,101,14.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,5.336503566,6.383458625059575,,,,,,,
,,,,,,,101,15.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_29.jpeg,did not like,2.642157193,6.021115000010468,,,,,,,
,,,,,,,101,,11.0,Gamble,,,,,,,16.90174672,7.549126638,,999.0,999.0,999,
,,,,,,,101,,12.0,Gamble,,,,,,,12.26541733,5.867291336,,999.0,999.0,999,
,,,,,,,101,,13.0,Gamble,,,,,,,14.75592599,8.622037005,,999.0,999.0,999,
,,,,,,,101,,14.0,Gamble,,,,,,,22.81240392,8.59379804,,999.0,999.0,999,
,,,,,,,101,,15.0,Gamble,,,,,,,16.7994054,3.600297299,,999.0,999.0,999,
MidEmotion_Block1,2.5,2.5,2.5,2.5,2.5,2.5,101,,,,,,,,,,,,,,,,
,,,,,,,101,16.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_14.jpeg,did not like,4.456234322,7.752923958003521,,,,,,,
,,,,,,,101,17.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_11.jpeg,liked,4.438512181,0.308208541944623,,,,,,,
,,,,,,,101,18.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_2.jpeg,did not like,2.682944783,0.04081529099494219,,,,,,,
,,,,,,,101,19.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.51984296,0.0876721249660477,,,,,,,
,,,,,,,101,20.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,3.195382774,1.3810384169919416,,,,,,,
,,,,,,,101,,16.0,Gamble,,,,,,,12.85039157,5.574804215,,999.0,999.0,999,
,,,,,,,101,,17.0,Gamble,,,,,,,25.96028425,7.019857876,,999.0,999.0,999,
,,,,,,,101,,18.0,Gamble,,,,,,,19.73342072,10.13328964,,999.0,999.0,999,
,,,,,,,101,,19.0,Gamble,,,,,,,25.07793009,3.461034955,,999.0,999.0,999,
,,,,,,,101,,20.0,Gamble,,,,,,,24.18555836,7.907220819,,999.0,999.0,999,
,,,,,,,101,21.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_6.jpeg,did not like,1.779333479,4.242622916935943,,,,,,,
,,,,,,,101,22.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,4.312468682,6.858664333005436,,,,,,,
,,,,,,,101,23.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_30.jpeg,did not like,4.940433059,2.289097208995372,,,,,,,
,,,,,,,101,24.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_7.jpeg,did not like,2.7105123,15.02060554199852,,,,,,,
,,,,,,,101,25.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_26.jpeg,did not like,3.602308302,13.536097583011724,,,,,,,
,,,,,,,101,,21.0,Gamble,,,,,,,11.65669969,6.171650157,,999.0,999.0,999,
,,,,,,,101,,22.0,Gamble,,,,,,,11.19626002,6.401869991,,999.0,999.0,999,
,,,,,,,101,,23.0,Gamble,,,,,,,14.21375945,4.893120275,,999.0,999.0,999,
,,,,,,,101,,24.0,Gamble,,,,,,,13.45404954,5.272975229,,999.0,999.0,999,
,,,,,,,101,,25.0,Gamble,,,,,,,21.33333333,5.333333333,,999.0,999.0,999,
,,,,,,,101,26.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_8.jpeg,liked,4.106391878,2.2884318329161033,,,,,,,
,,,,,,,101,27.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_19.jpeg,did not like,3.799433026,3.463183040963486,,,,,,,
,,,,,,,101,28.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,5.246980764,0.02713774994481355,,,,,,,
,,,,,,,101,29.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,3.30081769,0.20291554206050932,,,,,,,
,,,,,,,101,30.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_20.jpeg,did not like,1.661473164,0.36583150003571063,,,,,,,
,,,,,,,101,,26.0,Gamble,,,,,,,15.18925149,4.405374253,,999.0,999.0,999,
,,,,,,,101,,27.0,Gamble,,,,,,,18.2457877,10.87710615,,999.0,999.0,999,
,,,,,,,101,,28.0,Gamble,,,,,,,18.58660175,6.706699124,,999.0,999.0,999,
,,,,,,,101,,29.0,Gamble,,,,,,,29.551845,5.224077499,,999.0,999.0,999,
,,,,,,,101,,30.0,Gamble,,,,,,,16.05601166,7.971994168,,999.0,999.0,999,
30,2.5,2.5,2.5,2.5,2.5,2.5,101,,,,,,,,,,,,,,,,2.5
