TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,3.5,2.0,3.0,2.0,3.2,1.6,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_4.jpeg,did not like,3.613205605,1.3874047906138003,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,4.988446431,1.007687000092119,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.470791822,0.40677983360365033,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_10.jpeg,did not like,3.820572462,0.6731329998001456,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,2.455989137,0.6841896250844002,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,17.73034185,11.13482908,2.432942916173488,0.0,11.13482908,9,
,,,,,,,101,,2.0,Gamble,,,,,,,21.72854467,9.135727663,1.7291046250611544,1.0,21.72854467,1,
,,,,,,,101,,3.0,Gamble,,,,,,,20.0262823,1.986858849,1.3614181661978364,1.0,20.0262823,1,
,,,,,,,101,,4.0,Gamble,,,,,,,19.78061316,6.109693419,1.2891598748974502,1.0,19.78061316,1,
,,,,,,,101,,5.0,Gamble,,,,,,,17.65046003,7.174769986,1.530727957841009,1.0,17.65046003,1,
,,,,,,,101,6.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_13.jpeg,did not like,3.79605092,0.8363930829800665,,,,,,,
,,,,,,,101,7.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,3.562416326,0.5316196251660585,,,,,,,
,,,,,,,101,8.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,2.843822497,0.6867144159041345,,,,,,,
,,,,,,,101,9.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_27.jpeg,liked,3.546495948,0.6709472918882966,,,,,,,
,,,,,,,101,10.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_1.jpeg,did not like,1.672012706,0.8520894581452012,,,,,,,
,,,,,,,101,,6.0,Gamble,,,,,,,18.89442261,10.55278869,1.3068852918222547,0.0,10.55278869,9,
,,,,,,,101,,7.0,Gamble,,,,,,,20.85617518,9.57191241,1.3628485407680273,1.0,20.85617518,1,
,,,,,,,101,,8.0,Gamble,,,,,,,14.31194562,8.844027192,1.4742445000447333,0.0,8.844027192,9,
,,,,,,,101,,9.0,Gamble,,,,,,,10.83678314,6.581608429,1.3229096657596529,0.0,6.581608429,9,
,,,,,,,101,,10.0,Gamble,,,,,,,15.3194242,8.3402879,1.3860714579932392,1.0,15.3194242,1,
,,,,,,,101,11.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,4.942172136,0.56136424979195,,,,,,,
,,,,,,,101,12.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.50187214,2.064400583971292,,,,,,,
,,,,,,,101,13.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_28.jpeg,did not like,2.071164779,0.6138455830514431,,,,,,,
,,,,,,,101,14.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_15.jpeg,liked,5.336503566,0.3168392921797931,,,,,,,
,,,,,,,101,15.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_29.jpeg,did not like,2.642157193,0.8669707081280649,,,,,,,
,,,,,,,101,,11.0,Gamble,,,,,,,16.90174672,7.549126638,2.994231667369604,0.0,7.549126638,9,
,,,,,,,101,,12.0,Gamble,,,,,,,12.26541733,5.867291336,,999.0,999.0,999,
,,,,,,,101,,13.0,Gamble,,,,,,,14.75592599,8.622037005,1.3105826247483492,0.0,8.622037005,9,
,,,,,,,101,,14.0,Gamble,,,,,,,22.81240392,8.59379804,1.3567767920903862,1.0,22.81240392,1,
,,,,,,,101,,15.0,Gamble,,,,,,,16.7994054,3.600297299,1.8334686658345163,1.0,16.7994054,1,
MidEmotion_Block1,2.0,2.1,2.7,1.5,3.1,3.1,101,,,,,,,,,,,,,,,,
,,,,,,,101,16.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_14.jpeg,did not like,4.456234322,0.5875894580967724,,,,,,,
,,,,,,,101,17.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_11.jpeg,liked,4.438512181,0.4293098752386868,,,,,,,
,,,,,,,101,18.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_2.jpeg,did not like,2.682944783,0.6168771246448159,,,,,,,
,,,,,,,101,19.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_16.jpeg,did not like,4.51984296,0.7206283747218549,,,,,,,
,,,,,,,101,20.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_22.jpeg,did not like,3.195382774,0.36961941607296467,,,,,,,
,,,,,,,101,,16.0,Gamble,,,,,,,12.85039157,5.574804215,,999.0,999.0,999,
,,,,,,,101,,17.0,Gamble,,,,,,,25.96028425,7.019857876,1.3579070419073105,1.0,25.96028425,1,
,,,,,,,101,,18.0,Gamble,,,,,,,19.73342072,10.13328964,1.4517764998599887,0.0,10.13328964,9,
,,,,,,,101,,19.0,Gamble,,,,,,,25.07793009,3.461034955,1.5770775000564754,1.0,25.07793009,1,
,,,,,,,101,,20.0,Gamble,,,,,,,24.18555836,7.907220819,1.3222124590538442,1.0,24.18555836,1,
,,,,,,,101,21.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_6.jpeg,did not like,1.779333479,1.430584667250514,,,,,,,
,,,,,,,101,22.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_21.jpeg,liked,4.312468682,0.3460935838520527,,,,,,,
,,,,,,,101,23.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_30.jpeg,did not like,4.940433059,0.4209240418858826,,,,,,,
,,,,,,,101,24.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_7.jpeg,did not like,2.7105123,0.8116955831646919,,,,,,,
,,,,,,,101,25.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_26.jpeg,did not like,3.602308302,0.6666037919931114,,,,,,,
,,,,,,,101,,21.0,Gamble,,,,,,,11.65669969,6.171650157,1.4796843747608364,1.0,11.65669969,1,
,,,,,,,101,,22.0,Gamble,,,,,,,11.19626002,6.401869991,1.2989007919095457,0.0,6.401869991,9,
,,,,,,,101,,23.0,Gamble,,,,,,,14.21375945,4.893120275,1.3616972919553518,1.0,14.21375945,1,
,,,,,,,101,,24.0,Gamble,,,,,,,13.45404954,5.272975229,1.39563083415851,0.0,5.272975229,9,
,,,,,,,101,,25.0,Gamble,,,,,,,21.33333333,5.333333333,1.377354542259127,0.0,5.333333333,9,
,,,,,,,101,26.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_8.jpeg,liked,4.106391878,1.5344595410861075,,,,,,,
,,,,,,,101,27.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_19.jpeg,did not like,3.799433026,0.7708362080156803,,,,,,,
,,,,,,,101,28.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_12.jpeg,did not like,5.246980764,4.728473583701998,,,,,,,
,,,,,,,101,29.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_18.jpeg,did not like,3.30081769,0.6696087922900915,,,,,,,
,,,,,,,101,30.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_20.jpeg,did not like,1.661473164,3.6471919580362737,,,,,,,
,,,,,,,101,,26.0,Gamble,,,,,,,15.18925149,4.405374253,,999.0,999.0,999,
,,,,,,,101,,27.0,Gamble,,,,,,,18.2457877,10.87710615,1.4030347499065101,0.0,10.87710615,9,
,,,,,,,101,,28.0,Gamble,,,,,,,18.58660175,6.706699124,2.0282343747094274,1.0,18.58660175,1,
,,,,,,,101,,29.0,Gamble,,,,,,,29.551845,5.224077499,1.3619134998880327,1.0,29.551845,1,
,,,,,,,101,,30.0,Gamble,,,,,,,16.05601166,7.971994168,1.072228915989399,0.0,7.971994168,9,
30,1.8,2.0,1.7,2.0,3.0,3.2,101,,,,,,,,,,,,,,,,1.0
,,,,,,,101,31.0,,PhotoShare,Riley,Rej,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,3.613205605,1.3504038751125336,,,,,,,
