TrialNumber,happy,emotion2,emotion3,emotion4,emotion5,emotion6,SubjectID,PhotoTrialNumber,GambleTrialNumber,Task,Partner,Condition,PhotoFilename,Feedback,FeedbackWait,PhotoResponseTime,RiskyGain,CertainAmount,GambleResponseTime,GambleChoice,SelectedPrice,GambleKey,futuresharingRating
1,1.8,2.7,2.5,2.3,2.7,2.5,,,,,,,,,,,,,,,,,
,,,,,,,101,1.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_4.jpeg,did not like,3.613205605,1.5182821249998142,,,,,,,
,,,,,,,101,2.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_23.jpeg,liked,4.988446431,0.7386032499998691,,,,,,,
,,,,,,,101,3.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_17.jpeg,did not like,3.470791822,0.28967941600012637,,,,,,,
,,,,,,,101,4.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_10.jpeg,did not like,3.820572462,0.4039599170000656,,,,,,,
,,,,,,,101,5.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_24.jpeg,did not like,2.455989137,0.6837633330001154,,,,,,,
,,,,,,,101,,1.0,Gamble,,,,,,,17.73034185,11.13482908,2.5182280000001356,1.0,17.73034185,1,
,,,,,,,101,,2.0,Gamble,,,,,,,21.72854467,9.135727663,1.9601072499999646,1.0,21.72854467,1,
,,,,,,,101,,3.0,Gamble,,,,,,,20.0262823,1.986858849,1.9725171659999887,1.0,20.0262823,1,
,,,,,,,101,,4.0,Gamble,,,,,,,19.78061316,6.109693419,1.2820794169999772,1.0,19.78061316,1,
,,,,,,,101,,5.0,Gamble,,,,,,,17.65046003,7.174769986,1.315871541999968,0.0,7.174769986,9,
,,,,,,,101,6.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_13.jpeg,did not like,3.79605092,0.7804144169999745,,,,,,,
,,,,,,,101,7.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_5.jpeg,did not like,3.562416326,0.852322458000117,,,,,,,
,,,,,,,101,8.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_9.jpeg,did not like,2.843822497,0.4735711660000561,,,,,,,
,,,,,,,101,9.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_27.jpeg,liked,3.546495948,0.3266140829998676,,,,,,,
,,,,,,,101,10.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_1.jpeg,did not like,1.672012706,0.5416158339999129,,,,,,,
,,,,,,,101,,6.0,Gamble,,,,,,,18.89442261,10.55278869,1.225817374999906,1.0,18.89442261,1,
,,,,,,,101,,7.0,Gamble,,,,,,,20.85617518,9.57191241,1.6607966250001027,0.0,9.57191241,9,
,,,,,,,101,,8.0,Gamble,,,,,,,14.31194562,8.844027192,1.2822306660000322,0.0,8.844027192,9,
,,,,,,,101,,9.0,Gamble,,,,,,,10.83678314,6.581608429,1.1937340829999812,0.0,6.581608429,9,
,,,,,,,101,,10.0,Gamble,,,,,,,15.3194242,8.3402879,1.2273320419999436,0.0,8.3402879,9,
,,,,,,,101,11.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_3.jpeg,did not like,4.942172136,0.33345533300007446,,,,,,,
,,,,,,,101,12.0,,PhotoShare,Sam,Rej,Participant_Images/101/101_Images/101_Image_25.jpeg,did not like,2.50187214,0.6879997910000384,,,,,,,
